CO2_Limit,Generator,AP_g
10306.5182,CCGT,10070
10306.5182,Coal,253.957337
10307.5182,Diesel,638.7760061
10307.5182,OCGT,2444
10307.5182,CCGT,10070
10307.5182,Coal,256.4717649
10308.5182,Diesel,636.4600857
10308.5182,OCGT,2444
10308.5182,CCGT,10070
10308.5182,Coal,258.9861927
10309.5182,Diesel,634.1441653
10309.5182,OCGT,2444
10309.5182,CCGT,10070
10309.5182,Coal,261.5006206
10310.5182,Diesel,631.8282449
10310.5182,OCGT,2444
10310.5182,CCGT,10070
10310.5182,Coal,264.0150484
10311.5182,Diesel,629.5123245
10311.5182,OCGT,2444
10311.5182,CCGT,10070
10311.5182,Coal,266.5294763
10312.5182,Diesel,627.1964041
10312.5182,OCGT,2444
10312.5182,CCGT,10070
10312.5182,Coal,269.0439042
10313.5182,Diesel,624.8804837
10313.5182,OCGT,2444
10313.5182,CCGT,10070
10313.5182,Coal,271.558332
10314.5182,Diesel,622.5645633
10314.5182,OCGT,2444
10314.5182,CCGT,10070
10314.5182,Coal,274.0727599
10315.5182,Diesel,620.2486429
10315.5182,OCGT,2444
10315.5182,CCGT,10070
10315.5182,Coal,276.5871877
10316.5182,Diesel,617.9327225
10316.5182,OCGT,2444
10316.5182,CCGT,10070
10316.5182,Coal,279.1016156
10317.5182,Diesel,615.6168021
10317.5182,OCGT,2444
10317.5182,CCGT,10070
10317.5182,Coal,281.6160435
10318.5182,Diesel,613.3008817
10318.5182,OCGT,2444
10318.5182,CCGT,10070
10318.5182,Coal,284.1304713
10319.5182,Diesel,610.9849613
10319.5182,OCGT,2444
10319.5182,CCGT,10070
10319.5182,Coal,286.6448992
10320.5182,Diesel,608.6690409
10320.5182,OCGT,2444
10320.5182,CCGT,10070
10320.5182,Coal,289.159327
10321.5182,Diesel,606.3531205
10321.5182,OCGT,2444
10321.5182,CCGT,10070
10321.5182,Coal,291.6737549
10322.5182,Diesel,604.0372001
10322.5182,OCGT,2444
10322.5182,CCGT,10070
10322.5182,Coal,294.1881828
10323.5182,Diesel,601.7212797
10323.5182,OCGT,2444
10323.5182,CCGT,10070
10323.5182,Coal,296.7026106
10324.5182,Diesel,599.4053593
10324.5182,OCGT,2444
10324.5182,CCGT,10070
10324.5182,Coal,299.2170385
10325.5182,Diesel,597.0894389
10325.5182,OCGT,2444
10325.5182,CCGT,10070
10325.5182,Coal,301.7314663
10326.5182,Diesel,594.7735185
10326.5182,OCGT,2444
10326.5182,CCGT,10070
10326.5182,Coal,304.2458942
10327.5182,Diesel,592.4575981
10327.5182,OCGT,2444
10327.5182,CCGT,10070
10327.5182,Coal,306.7603221
10328.5182,Diesel,590.1416777
10328.5182,OCGT,2444
10328.5182,CCGT,10070
10328.5182,Coal,309.2747499
10329.5182,Diesel,587.8257573
10329.5182,OCGT,2444
10329.5182,CCGT,10070
10329.5182,Coal,311.7891778
10330.5182,Diesel,585.5098369
10330.5182,OCGT,2444
10330.5182,CCGT,10070
10330.5182,Coal,314.3036056
10331.5182,Diesel,583.1939165
10331.5182,OCGT,2444
10331.5182,CCGT,10070
10331.5182,Coal,316.8180335
10332.5182,Diesel,580.8779961
10332.5182,OCGT,2444
10332.5182,CCGT,10070
10332.5182,Coal,319.3324614
10333.5182,Diesel,578.5620757
10333.5182,OCGT,2444
10333.5182,CCGT,10070
10333.5182,Coal,321.8468892
10334.5182,Diesel,576.2461553
10334.5182,OCGT,2444
10334.5182,CCGT,10070
10334.5182,Coal,324.3613171
10335.5182,Diesel,573.9302349
10335.5182,OCGT,2444
10335.5182,CCGT,10070
10335.5182,Coal,326.875745
10336.5182,Diesel,571.6143145
10336.5182,OCGT,2444
10336.5182,CCGT,10070
10336.5182,Coal,329.3901728
10337.5182,Diesel,569.2983941
10337.5182,OCGT,2444
10337.5182,CCGT,10070
10337.5182,Coal,331.9046007
10338.5182,Diesel,566.9824737
10338.5182,OCGT,2444
10338.5182,CCGT,10070
10338.5182,Coal,334.4190285
10339.5182,Diesel,564.6665533
10339.5182,OCGT,2444
10339.5182,CCGT,10070
10339.5182,Coal,336.9334564
10340.5182,Diesel,562.3506329
10340.5182,OCGT,2444
10340.5182,CCGT,10070
10340.5182,Coal,339.4478843
10341.5182,Diesel,560.0347125
10341.5182,OCGT,2444
10341.5182,CCGT,10070
10341.5182,Coal,341.9623121
10342.5182,Diesel,557.7187921
10342.5182,OCGT,2444
10342.5182,CCGT,10070
10342.5182,Coal,344.47674
10343.5182,Diesel,555.4028717
10343.5182,OCGT,2444
10343.5182,CCGT,10070
10343.5182,Coal,346.9911678
10344.5182,Diesel,553.0869513
10344.5182,OCGT,2444
10344.5182,CCGT,10070
10344.5182,Coal,349.5055957
10345.5182,Diesel,550.7710309
10345.5182,OCGT,2444
10345.5182,CCGT,10070
10345.5182,Coal,352.0200236
10346.5182,Diesel,548.4551105
10346.5182,OCGT,2444
10346.5182,CCGT,10070
10346.5182,Coal,354.5344514
10347.5182,Diesel,546.1391901
10347.5182,OCGT,2444
10347.5182,CCGT,10070
10347.5182,Coal,357.0488793
10348.5182,Diesel,543.8232697
10348.5182,OCGT,2444
10348.5182,CCGT,10070
10348.5182,Coal,359.5633071
10349.5182,Diesel,541.5073493
10349.5182,OCGT,2444
10349.5182,CCGT,10070
10349.5182,Coal,362.077735
10350.5182,Diesel,539.1914289
10350.5182,OCGT,2444
10350.5182,CCGT,10070
10350.5182,Coal,364.5921629
10351.5182,Diesel,536.8755085
10351.5182,OCGT,2444
10351.5182,CCGT,10070
10351.5182,Coal,367.1065907
10352.5182,Diesel,534.5595881
10352.5182,OCGT,2444
10352.5182,CCGT,10070
10352.5182,Coal,369.6210186
10353.5182,Diesel,532.2436677
10353.5182,OCGT,2444
10353.5182,CCGT,10070
10353.5182,Coal,372.1354464
10354.5182,Diesel,529.9277474
10354.5182,OCGT,2444
10354.5182,CCGT,10070
10354.5182,Coal,374.6498743
10355.5182,Diesel,527.611827
10355.5182,OCGT,2444
10355.5182,CCGT,10070
10355.5182,Coal,377.1643022
10356.5182,Diesel,525.2959066
10356.5182,OCGT,2444
10356.5182,CCGT,10070
10356.5182,Coal,379.67873
10357.5182,Diesel,522.9799862
10357.5182,OCGT,2444
10357.5182,CCGT,10070
10357.5182,Coal,382.1931579
10358.5182,Diesel,520.6640658
10358.5182,OCGT,2444
10358.5182,CCGT,10070
10358.5182,Coal,384.7075857
10359.5182,Diesel,518.3481454
10359.5182,OCGT,2444
10359.5182,CCGT,10070
10359.5182,Coal,387.2220136
10360.5182,Diesel,516.032225
10360.5182,OCGT,2444
10360.5182,CCGT,10070
10360.5182,Coal,389.7364415
10361.5182,Diesel,513.7163046
10361.5182,OCGT,2444
10361.5182,CCGT,10070
10361.5182,Coal,392.2508693
10362.5182,Diesel,511.4003842
10362.5182,OCGT,2444
10362.5182,CCGT,10070
10362.5182,Coal,394.7652972
10363.5182,Diesel,509.0844638
10363.5182,OCGT,2444
10363.5182,CCGT,10070
10363.5182,Coal,397.2797251
10364.5182,Diesel,506.7685434
10364.5182,OCGT,2444
10364.5182,CCGT,10070
10364.5182,Coal,399.7941529
10365.5182,Diesel,504.452623
10365.5182,OCGT,2444
10365.5182,CCGT,10070
10365.5182,Coal,402.3085808
10366.5182,Diesel,502.1367026
10366.5182,OCGT,2444
10366.5182,CCGT,10070
10366.5182,Coal,404.8230086
10367.5182,Diesel,499.8207822
10367.5182,OCGT,2444
10367.5182,CCGT,10070
10367.5182,Coal,407.3374365
10368.5182,Diesel,497.5048618
10368.5182,OCGT,2444
10368.5182,CCGT,10070
10368.5182,Coal,409.8518644
10369.5182,Diesel,495.1889414
10369.5182,OCGT,2444
10369.5182,CCGT,10070
10369.5182,Coal,412.3662922
10370.5182,Diesel,492.873021
10370.5182,OCGT,2444
10370.5182,CCGT,10070
10370.5182,Coal,414.8807201
10371.5182,Diesel,490.5571006
10371.5182,OCGT,2444
10371.5182,CCGT,10070
10371.5182,Coal,417.3951479
10372.5182,Diesel,488.2411802
10372.5182,OCGT,2444
10372.5182,CCGT,10070
10372.5182,Coal,419.9095758
10373.5182,Diesel,485.9252598
10373.5182,OCGT,2444
10373.5182,CCGT,10070
10373.5182,Coal,422.4240037
10374.5182,Diesel,483.6093394
10374.5182,OCGT,2444
10374.5182,CCGT,10070
10374.5182,Coal,424.9384315
10375.5182,Diesel,481.293419
10375.5182,OCGT,2444
10375.5182,CCGT,10070
10375.5182,Coal,427.4528594
10376.5182,Diesel,478.9774986
10376.5182,OCGT,2444
10376.5182,CCGT,10070
10376.5182,Coal,429.9672872
10377.5182,Diesel,476.6615782
10377.5182,OCGT,2444
10377.5182,CCGT,10070
10377.5182,Coal,432.4817151
10378.5182,Diesel,474.3456578
10378.5182,OCGT,2444
10378.5182,CCGT,10070
10378.5182,Coal,434.996143
10379.5182,Diesel,472.0297374
10379.5182,OCGT,2444
10379.5182,CCGT,10070
10379.5182,Coal,437.5105708
10380.5182,Diesel,469.713817
10380.5182,OCGT,2444
10380.5182,CCGT,10070
10380.5182,Coal,440.0249987
10381.5182,Diesel,467.3978966
10381.5182,OCGT,2444
10381.5182,CCGT,10070
10381.5182,Coal,442.5394265
10382.5182,Diesel,465.0819762
10382.5182,OCGT,2444
10382.5182,CCGT,10070
10382.5182,Coal,445.0538544
10383.5182,Diesel,462.7660558
10383.5182,OCGT,2444
10383.5182,CCGT,10070
10383.5182,Coal,447.5682823
10384.5182,Diesel,460.4501354
10384.5182,OCGT,2444
10384.5182,CCGT,10070
10384.5182,Coal,450.0827101
10385.5182,Diesel,458.134215
10385.5182,OCGT,2444
10385.5182,CCGT,10070
10385.5182,Coal,452.597138
10386.5182,Diesel,455.8182946
10386.5182,OCGT,2444
10386.5182,CCGT,10070
10386.5182,Coal,455.1115658
10387.5182,Diesel,453.5023742
10387.5182,OCGT,2444
10387.5182,CCGT,10070
10387.5182,Coal,457.6259937
10388.5182,Diesel,451.1864538
10388.5182,OCGT,2444
10388.5182,CCGT,10070
10388.5182,Coal,460.1404216
10389.5182,Diesel,448.8705334
10389.5182,OCGT,2444
