CO2_Limit,AC
2924.7305,1009638.198
2925.7305,1009437.475
2926.7305,1009236.752
2927.7305,1009036.03
2928.7305,1008835.307
2929.7305,1008634.585
2930.7305,1008433.862
2931.7305,1008233.139
2932.7305,1008032.417
2933.7305,1007831.694
2934.7305,1007630.971
2935.7305,1007430.249
2936.7305,1007229.526
2937.7305,1007028.804
2938.7305,1006828.081
2939.7305,1006627.358
2940.7305,1006426.636
2941.7305,1006225.913
2942.7305,1006025.191
2943.7305,1005824.468
2944.7305,1005623.745
2945.7305,1005423.023
2946.7305,1005222.3
2947.7305,1005021.578
2948.7305,1004820.855
2949.7305,1004620.132
2950.7305,1004419.41
2951.7305,1004218.687
2952.7305,1004017.965
2953.7305,1003817.242
2954.7305,1003616.519
2955.7305,1003415.797
2956.7305,1003215.074
2957.7305,1003014.352
2958.7305,1002813.629
2959.7305,1002612.906
2960.7305,1002412.184
2961.7305,1002211.461
2962.7305,1002010.739
2963.7305,1002000
2964.7305,1002000
2965.7305,1002000
2966.7305,1002000
2967.7305,1002000
2968.7305,1002000
2969.7305,1002000
2970.7305,1002000
2971.7305,1002000
2972.7305,1002000
2973.7305,1002000
2974.7305,1002000
2975.7305,1002000
2976.7305,1002000
2977.7305,1002000
2978.7305,1002000
2979.7305,1002000
2980.7305,1002000
2981.7305,1002000
2982.7305,1002000
2983.7305,1002000
2984.7305,1002000
2985.7305,1002000
2986.7305,1002000
2987.7305,1002000
2988.7305,1002000
2989.7305,1002000
2990.7305,1002000
2991.7305,1002000
2992.7305,1002000
2993.7305,1002000
2994.7305,1002000
2995.7305,1002000
2996.7305,1002000
2997.7305,1002000
2998.7305,1002000
2999.7305,1002000
3000.7305,1002000
3001.7305,1002000
3002.7305,1002000
3003.7305,1002000
3004.7305,1002000
3005.7305,1002000
3006.7305,1002000
3007.7305,1002000
3008.7305,1002000
3009.7305,1002000
3010.7305,1002000
3011.7305,1002000
3012.7305,1002000
3013.7305,1002000
3014.7305,1002000
3015.7305,1002000
3016.7305,1002000
3017.7305,1002000
3018.7305,1002000
3019.7305,1002000
3020.7305,1002000
3021.7305,1002000
3022.7305,1002000
3023.7305,1002000
3024.7305,1002000
3025.7305,1002000
3026.7305,1002000
3027.7305,1002000
3028.7305,1002000
3029.7305,1002000
3030.7305,1002000
3031.7305,1002000
3032.7305,1002000
3033.7305,1002000
3034.7305,1002000
3035.7305,1002000
3036.7305,1002000
3037.7305,1002000
3038.7305,1002000
3039.7305,1002000
3040.7305,1002000
3041.7305,1002000
3042.7305,1002000
3043.7305,1002000
3044.7305,1002000
3045.7305,1002000
3046.7305,1002000
3047.7305,1002000
3048.7305,1002000
3049.7305,1002000
3050.7305,1002000
3051.7305,1002000
3052.7305,1002000
3053.7305,1002000
3054.7305,1002000
3055.7305,1002000
3056.7305,1002000
3057.7305,1002000
3058.7305,1002000
3059.7305,1002000
3060.7305,1002000
3061.7305,1002000
3062.7305,1002000
3063.7305,1002000
3064.7305,1002000
3065.7305,1002000
3066.7305,1002000
3067.7305,1002000
3068.7305,1002000
3069.7305,1002000
3070.7305,1002000
3071.7305,1002000
3072.7305,1002000
3073.7305,1002000
3074.7305,1002000
3075.7305,1002000
3076.7305,1002000
3077.7305,1002000
3078.7305,1002000
3079.7305,1002000
3080.7305,1002000
3081.7305,1002000
3082.7305,1002000
3083.7305,1002000
3084.7305,1002000
3085.7305,1002000
3086.7305,1002000
3087.7305,1002000
3088.7305,1002000
3089.7305,1002000
3090.7305,1002000
3091.7305,1002000
3092.7305,1002000
3093.7305,1002000
3094.7305,1002000
3095.7305,1002000
3096.7305,1002000
3097.7305,1002000
3098.7305,1002000
3099.7305,1002000
3100.7305,1002000
3101.7305,1002000
3102.7305,1002000
3103.7305,1002000
3104.7305,1002000
3105.7305,1002000
3106.7305,1002000
3107.7305,1002000
3108.7305,1002000
3109.7305,1002000
3110.7305,1002000
3111.7305,1002000
3112.7305,1002000
3113.7305,1002000
3114.7305,1002000
3115.7305,1002000
3116.7305,1002000
3117.7305,1002000
3118.7305,1002000
3119.7305,1002000
3120.7305,1002000
3121.7305,1002000
3122.7305,1002000
3123.7305,1002000
3124.7305,1002000
3125.7305,1002000
3126.7305,1002000
3127.7305,1002000
3128.7305,1002000
3129.7305,1002000
3130.7305,1002000
3131.7305,1002000
3132.7305,1002000
3133.7305,1002000
3134.7305,1002000
3135.7305,1002000
3136.7305,1002000
3137.7305,1002000
3138.7305,1002000
3139.7305,1002000
3140.7305,1002000
3141.7305,1002000
3142.7305,1002000
3143.7305,1002000
3144.7305,1002000
3145.7305,1002000
3146.7305,1002000
3147.7305,1002000
3148.7305,1002000
3149.7305,1002000
3150.7305,1002000
3151.7305,1002000
3152.7305,1002000
3153.7305,1002000
3154.7305,1002000
3155.7305,1002000
3156.7305,1002000
3157.7305,1002000
3158.7305,1002000
3159.7305,1002000
3160.7305,1002000
3161.7305,1002000
3162.7305,1002000
3163.7305,1002000
3164.7305,1002000
3165.7305,1002000
3166.7305,1002000
3167.7305,1002000
3168.7305,1002000
3169.7305,1002000
3170.7305,1002000
3171.7305,1002000
3172.7305,1002000
3173.7305,1002000
3174.7305,1002000
3175.7305,1002000
3176.7305,1002000
3177.7305,1002000
3178.7305,1002000
3179.7305,1002000
3180.7305,1002000
3181.7305,1002000
3182.7305,1002000
3183.7305,1002000
3184.7305,1002000
3185.7305,1002000
3186.7305,1002000
3187.7305,1002000
3188.7305,1002000
3189.7305,1002000
3190.7305,1002000
3191.7305,1002000
3192.7305,1002000
3193.7305,1002000
3194.7305,1002000
3195.7305,1002000
3196.7305,1002000
3197.7305,1002000
3198.7305,1002000
3199.7305,1002000
3200.7305,1002000
3201.7305,1002000
3202.7305,1002000
3203.7305,1002000
3204.7305,1002000
3205.7305,1002000
