CO2_Limit,Generator,AP_g
2357.7305,CCGT,4630.525147
2357.7305,Coal,0
2358.7305,Diesel,2757.768231
2358.7305,OCGT,4700
2358.7305,CCGT,4674.950964
2358.7305,Coal,0
2359.7305,Diesel,2728.430427
2359.7305,OCGT,4700
2359.7305,CCGT,4719.376781
2359.7305,Coal,0
2360.7305,Diesel,2699.092624
2360.7305,OCGT,4700
2360.7305,CCGT,4763.802598
2360.7305,Coal,0
2361.7305,Diesel,2669.75482
2361.7305,OCGT,4700
2361.7305,CCGT,4808.228416
2361.7305,Coal,0
2362.7305,Diesel,2640.417016
2362.7305,OCGT,4700
2362.7305,CCGT,4852.654233
2362.7305,Coal,0
2363.7305,Diesel,2611.079212
2363.7305,OCGT,4700
2363.7305,CCGT,4897.08005
2363.7305,Coal,0
2364.7305,Diesel,2581.741408
2364.7305,OCGT,4700
2364.7305,CCGT,4941.505868
2364.7305,Coal,0
2365.7305,Diesel,2552.403604
2365.7305,OCGT,4700
2365.7305,CCGT,4985.931685
2365.7305,Coal,0
2366.7305,Diesel,2523.065801
2366.7305,OCGT,4700
2366.7305,CCGT,5030.357502
2366.7305,Coal,0
2367.7305,Diesel,2493.727997
2367.7305,OCGT,4700
2367.7305,CCGT,5074.783319
2367.7305,Coal,0
2368.7305,Diesel,2464.390193
2368.7305,OCGT,4700
2368.7305,CCGT,5119.209137
2368.7305,Coal,0
2369.7305,Diesel,2435.052389
2369.7305,OCGT,4700
2369.7305,CCGT,5163.634954
2369.7305,Coal,0
2370.7305,Diesel,2405.714585
2370.7305,OCGT,4700
2370.7305,CCGT,5208.060771
2370.7305,Coal,0
2371.7305,Diesel,2376.376781
2371.7305,OCGT,4700
2371.7305,CCGT,5252.486588
2371.7305,Coal,0
2372.7305,Diesel,2347.038977
2372.7305,OCGT,4700
2372.7305,CCGT,5296.912406
2372.7305,Coal,0
2373.7305,Diesel,2317.701174
2373.7305,OCGT,4700
2373.7305,CCGT,5341.338223
2373.7305,Coal,0
2374.7305,Diesel,2288.36337
2374.7305,OCGT,4700
2374.7305,CCGT,5385.76404
2374.7305,Coal,0
2375.7305,Diesel,2259.025566
2375.7305,OCGT,4700
2375.7305,CCGT,5430.189858
2375.7305,Coal,0
2376.7305,Diesel,2229.687762
2376.7305,OCGT,4700
2376.7305,CCGT,5474.615675
2376.7305,Coal,0
2377.7305,Diesel,2200.349958
2377.7305,OCGT,4700
2377.7305,CCGT,5519.041492
2377.7305,Coal,0
2378.7305,Diesel,2171.012154
2378.7305,OCGT,4700
2378.7305,CCGT,5563.467309
2378.7305,Coal,0
2379.7305,Diesel,2141.67435
2379.7305,OCGT,4700
2379.7305,CCGT,5607.893127
2379.7305,Coal,0
2380.7305,Diesel,2112.336547
2380.7305,OCGT,4700
2380.7305,CCGT,5652.318944
2380.7305,Coal,0
2381.7305,Diesel,2082.998743
2381.7305,OCGT,4700
2381.7305,CCGT,5696.744761
2381.7305,Coal,0
2382.7305,Diesel,2053.660939
2382.7305,OCGT,4700
2382.7305,CCGT,5741.170578
2382.7305,Coal,0
2383.7305,Diesel,2024.323135
2383.7305,OCGT,4700
2383.7305,CCGT,5785.596396
2383.7305,Coal,0
2384.7305,Diesel,1994.985331
2384.7305,OCGT,4700
2384.7305,CCGT,5830.022213
2384.7305,Coal,0
2385.7305,Diesel,1965.647527
2385.7305,OCGT,4700
2385.7305,CCGT,5874.44803
2385.7305,Coal,0
2386.7305,Diesel,1936.309723
2386.7305,OCGT,4700
2386.7305,CCGT,5918.873847
2386.7305,Coal,0
2387.7305,Diesel,1906.97192
2387.7305,OCGT,4700
2387.7305,CCGT,5963.299665
2387.7305,Coal,0
2388.7305,Diesel,1877.634116
2388.7305,OCGT,4700
2388.7305,CCGT,6007.725482
2388.7305,Coal,0
2389.7305,Diesel,1848.296312
2389.7305,OCGT,4700
2389.7305,CCGT,6052.151299
2389.7305,Coal,0
2390.7305,Diesel,1818.958508
2390.7305,OCGT,4700
2390.7305,CCGT,6096.577117
2390.7305,Coal,0
2391.7305,Diesel,1789.620704
2391.7305,OCGT,4700
2391.7305,CCGT,6141.002934
2391.7305,Coal,0
2392.7305,Diesel,1760.2829
2392.7305,OCGT,4700
2392.7305,CCGT,6185.428751
2392.7305,Coal,0
2393.7305,Diesel,1730.945096
2393.7305,OCGT,4700
2393.7305,CCGT,6229.854568
2393.7305,Coal,0
2394.7305,Diesel,1701.607293
2394.7305,OCGT,4700
2394.7305,CCGT,6274.280386
2394.7305,Coal,0
2395.7305,Diesel,1672.269489
2395.7305,OCGT,4700
2395.7305,CCGT,6318.706203
2395.7305,Coal,0
2396.7305,Diesel,1642.931685
2396.7305,OCGT,4700
2396.7305,CCGT,6363.13202
2396.7305,Coal,0
